"Thread","Method","Exit","Time (microseconds)"
"AWT-EventQueue-0","java.awt.EventDispatchThread.run()","false",0
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",0
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",0
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",2304
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",4266
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",121250
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",121258
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",121262
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",121269
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",328256
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",328319
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",328325
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",328328
"AWT-EventQueue-0","com.up.student.view.LoginView$1.actionPerformed(java.awt.event.ActionEvent)","false",1031944
"AWT-EventQueue-0","com.up.student.view.LoginView.access$100(com.up.student.view.LoginView)","false",1031953
"AWT-EventQueue-0","com.up.student.view.LoginView.check()","false",1031957
"AWT-EventQueue-0","com.up.student.DAO.<clinit>()","false",1032679
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","false",1032685
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","false",1032689
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","true",1032695
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","true",1032696
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","false",1032699
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","false",1032700
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","true",1032700
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","true",1032701
"AWT-EventQueue-0","com.up.student.DAO.<clinit>()","true",1032726
"AWT-EventQueue-0","com.up.student.base.BaseDAO.getAbilityDAO(com.up.student.DAO)","false",1035717
"AWT-EventQueue-0","com.up.student.base.BaseDAO$1.<clinit>()","false",1036195
"AWT-EventQueue-0","com.up.student.DAO.values()","false",1036199
"AWT-EventQueue-0","com.up.student.DAO.values()","true",1036207
"AWT-EventQueue-0","com.up.student.base.BaseDAO$1.<clinit>()","true",1036217
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<clinit>()","false",1036294
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<clinit>()","true",1036298
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.getInstance()","false",1036300
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<init>()","false",1036303
"AWT-EventQueue-0","com.up.student.base.BaseDAO.<init>()","false",1036306
"AWT-EventQueue-0","com.up.student.util.DBUtil.getDBUtil()","false",1037275
"AWT-EventQueue-0","com.up.student.util.DBUtil.<init>()","false",1037279
"AWT-EventQueue-0","com.up.student.util.DBUtil.<init>()","true",1037284
"AWT-EventQueue-0","com.up.student.util.DBUtil.getDBUtil()","true",1037285
"AWT-EventQueue-0","com.up.student.base.BaseDAO.init()","false",1037287
"AWT-EventQueue-0","com.up.student.base.BaseDAO.init()","true",1037289
"AWT-EventQueue-0","com.up.student.base.BaseDAO.<init>()","true",1037289
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<init>()","true",1037290
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.getInstance()","true",1037291
"AWT-EventQueue-0","com.up.student.base.BaseDAO.getAbilityDAO(com.up.student.DAO)","true",1037291
"AWT-EventQueue-0","javax.swing.JTextField.getText()","false",1037293
"AWT-EventQueue-0","javax.swing.JTextField.getText()","true",1037310
"AWT-EventQueue-0","javax.swing.JPasswordField.getPassword()","false",1037311
"AWT-EventQueue-0","javax.swing.JPasswordField.getPassword()","true",1037331
"AWT-EventQueue-0","java.lang.String.valueOf(char[ ])","false",1037332
"AWT-EventQueue-0","java.lang.String.valueOf(char[ ])","true",1037336
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.queryForLogin(java.lang.String, java.lang.String)","false",1037338
"AWT-EventQueue-0","java.lang.String.length()","false",1037340
"AWT-EventQueue-0","java.lang.String.length()","true",1037343
"AWT-EventQueue-0","java.lang.String.length()","false",1037344
"AWT-EventQueue-0","java.lang.String.length()","true",1037344
"AWT-EventQueue-0","com.up.student.util.DBUtil.executeQuery(java.lang.String, java.lang.Object[ ])","false",1037352
"AWT-EventQueue-0","com.up.student.util.DBUtil.getConn()","false",1037355
"AWT-EventQueue-0","java.lang.Class.forName(java.lang.String)","false",1037358
"AWT-EventQueue-0","java.lang.Class.forName(java.lang.String)","true",1056606
"AWT-EventQueue-0","java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)","false",1056612
"AWT-EventQueue-0","java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)","true",1545738
"AWT-EventQueue-0","com.up.student.util.DBUtil.getConn()","true",1545741
"AWT-EventQueue-0","java.sql.Connection.prepareStatement(java.lang.String)","false",1545744
"AWT-EventQueue-0","java.sql.Connection.prepareStatement(java.lang.String)","true",1563864
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","false",1563868
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","true",1566293
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","false",1566295
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","true",1566302
"AWT-EventQueue-0","java.sql.PreparedStatement.executeQuery()","false",1566303
"AWT-EventQueue-0","java.sql.PreparedStatement.executeQuery()","true",1567006
"AWT-EventQueue-0","com.up.student.util.DBUtil.executeQuery(java.lang.String, java.lang.Object[ ])","true",1567009
"AWT-EventQueue-0","java.sql.ResultSet.next()","false",1567012
"AWT-EventQueue-0","java.sql.ResultSet.next()","true",1567027
"AWT-EventQueue-0","com.up.student.base.BaseDAO.destroy()","false",1567030
"AWT-EventQueue-0","java.sql.ResultSet.close()","false",1567034
"AWT-EventQueue-0","java.sql.ResultSet.close()","true",1567070
"AWT-EventQueue-0","com.up.student.util.DBUtil.close()","false",1567073
"AWT-EventQueue-0","java.sql.ResultSet.close()","false",1567074
"AWT-EventQueue-0","java.sql.ResultSet.close()","true",1567077
"AWT-EventQueue-0","java.sql.PreparedStatement.close()","false",1567077
"AWT-EventQueue-0","java.sql.PreparedStatement.close()","true",1567096
"AWT-EventQueue-0","java.sql.Connection.close()","false",1567097
"AWT-EventQueue-0","java.sql.Connection.close()","true",1571140
"AWT-EventQueue-0","com.up.student.util.DBUtil.close()","true",1571142
"AWT-EventQueue-0","com.up.student.base.BaseDAO.destroy()","true",1571143
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.queryForLogin(java.lang.String, java.lang.String)","true",1571144
"AWT-EventQueue-0","com.up.student.view.MainView.<clinit>()","false",1584070
"AWT-EventQueue-0","com.up.student.view.MainView.<clinit>()","true",1584089
"AWT-EventQueue-0","com.up.student.view.MainView.<init>()","false",1584092
"AWT-EventQueue-0","javax.swing.JFrame.<init>()","false",1584096
"AWT-EventQueue-0","javax.swing.JFrame.<init>()","true",1588760
"AWT-EventQueue-0","com.up.student.view.MainView.init()","false",1588768
"AWT-EventQueue-0","javax.swing.JPanel.<init>()","false",1588780
"AWT-EventQueue-0","javax.swing.JPanel.<init>()","true",1588854
"AWT-EventQueue-0","java.awt.GridLayout.<init>(int, int)","false",1588858
"AWT-EventQueue-0","java.awt.GridLayout.<init>(int, int)","true",1588862
"AWT-EventQueue-0","javax.swing.JPanel.setLayout(java.awt.LayoutManager)","false",1588863
"AWT-EventQueue-0","javax.swing.JPanel.setLayout(java.awt.LayoutManager)","true",1588868
