"Thread","Method","Exit","Time (microseconds)"
"AWT-EventQueue-0","java.awt.EventDispatchThread.run()","false",0
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",0
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",0
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",2118
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",4610
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",389104
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",389113
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",389116
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",389124
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",591586
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",591594
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",591597
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","true",591600
"AWT-EventQueue-0","com.up.student.view.LoginView$1.actionPerformed(java.awt.event.ActionEvent)","false",1414566
"AWT-EventQueue-0","com.up.student.view.LoginView.access$100(com.up.student.view.LoginView)","false",1414579
"AWT-EventQueue-0","com.up.student.view.LoginView.check()","false",1414584
"AWT-EventQueue-0","com.up.student.DAO.<clinit>()","false",1417536
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","false",1417550
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","false",1417558
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","true",1417569
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","true",1417573
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","false",1417578
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","false",1417579
"AWT-EventQueue-0","java.lang.Enum.<init>(java.lang.String, int)","true",1417580
"AWT-EventQueue-0","com.up.student.DAO.<init>(java.lang.String, int)","true",1417581
"AWT-EventQueue-0","com.up.student.DAO.<clinit>()","true",1417639
"AWT-EventQueue-0","com.up.student.base.BaseDAO.getAbilityDAO(com.up.student.DAO)","false",1424924
"AWT-EventQueue-0","com.up.student.base.BaseDAO$1.<clinit>()","false",1426055
"AWT-EventQueue-0","com.up.student.DAO.values()","false",1426060
"AWT-EventQueue-0","com.up.student.DAO.values()","true",1426073
"AWT-EventQueue-0","com.up.student.base.BaseDAO$1.<clinit>()","true",1426086
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<clinit>()","false",1426195
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<clinit>()","true",1426200
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.getInstance()","false",1426204
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<init>()","false",1426207
"AWT-EventQueue-0","com.up.student.base.BaseDAO.<init>()","false",1426211
"AWT-EventQueue-0","com.up.student.util.DBUtil.getDBUtil()","false",1428503
"AWT-EventQueue-0","com.up.student.util.DBUtil.<init>()","false",1428508
"AWT-EventQueue-0","com.up.student.util.DBUtil.<init>()","true",1428515
"AWT-EventQueue-0","com.up.student.util.DBUtil.getDBUtil()","true",1428516
"AWT-EventQueue-0","com.up.student.base.BaseDAO.init()","false",1428519
"AWT-EventQueue-0","com.up.student.base.BaseDAO.init()","true",1428521
"AWT-EventQueue-0","com.up.student.base.BaseDAO.<init>()","true",1428521
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.<init>()","true",1428522
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.getInstance()","true",1428523
"AWT-EventQueue-0","com.up.student.base.BaseDAO.getAbilityDAO(com.up.student.DAO)","true",1428523
"AWT-EventQueue-0","javax.swing.JTextField.getText()","false",1428526
"AWT-EventQueue-0","javax.swing.JTextField.getText()","true",1428553
"AWT-EventQueue-0","javax.swing.JPasswordField.getPassword()","false",1428554
"AWT-EventQueue-0","javax.swing.JPasswordField.getPassword()","true",1428577
"AWT-EventQueue-0","java.lang.String.valueOf(char[ ])","false",1428578
"AWT-EventQueue-0","java.lang.String.valueOf(char[ ])","true",1428584
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.queryForLogin(java.lang.String, java.lang.String)","false",1428588
"AWT-EventQueue-0","java.lang.String.length()","false",1428590
"AWT-EventQueue-0","java.lang.String.length()","true",1428593
"AWT-EventQueue-0","java.lang.String.length()","false",1428594
"AWT-EventQueue-0","java.lang.String.length()","true",1428595
"AWT-EventQueue-0","com.up.student.util.DBUtil.executeQuery(java.lang.String, java.lang.Object[ ])","false",1428605
"AWT-EventQueue-0","com.up.student.util.DBUtil.getConn()","false",1428607
"AWT-EventQueue-0","java.lang.Class.forName(java.lang.String)","false",1428610
"AWT-EventQueue-0","java.lang.Class.forName(java.lang.String)","true",1447782
"AWT-EventQueue-0","java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)","false",1447788
"AWT-EventQueue-0","java.sql.DriverManager.getConnection(java.lang.String, java.lang.String, java.lang.String)","true",1902007
"AWT-EventQueue-0","com.up.student.util.DBUtil.getConn()","true",1902010
"AWT-EventQueue-0","java.sql.Connection.prepareStatement(java.lang.String)","false",1902013
"AWT-EventQueue-0","java.sql.Connection.prepareStatement(java.lang.String)","true",1921025
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","false",1921030
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","true",1923261
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","false",1923264
"AWT-EventQueue-0","java.sql.PreparedStatement.setObject(int, java.lang.Object)","true",1923272
"AWT-EventQueue-0","java.sql.PreparedStatement.executeQuery()","false",1923272
"AWT-EventQueue-0","java.sql.PreparedStatement.executeQuery()","true",1923898
"AWT-EventQueue-0","com.up.student.util.DBUtil.executeQuery(java.lang.String, java.lang.Object[ ])","true",1923901
"AWT-EventQueue-0","java.sql.ResultSet.next()","false",1923904
"AWT-EventQueue-0","java.sql.ResultSet.next()","true",1923918
"AWT-EventQueue-0","com.up.student.base.BaseDAO.destroy()","false",1923921
"AWT-EventQueue-0","java.sql.ResultSet.close()","false",1923925
"AWT-EventQueue-0","java.sql.ResultSet.close()","true",1923963
"AWT-EventQueue-0","com.up.student.util.DBUtil.close()","false",1924048
"AWT-EventQueue-0","java.sql.ResultSet.close()","false",1924053
"AWT-EventQueue-0","java.sql.ResultSet.close()","true",1924063
"AWT-EventQueue-0","java.sql.PreparedStatement.close()","false",1924065
"AWT-EventQueue-0","java.sql.PreparedStatement.close()","true",1924099
"AWT-EventQueue-0","java.sql.Connection.close()","false",1924101
"AWT-EventQueue-0","java.sql.Connection.close()","true",1928231
"AWT-EventQueue-0","com.up.student.util.DBUtil.close()","true",1928233
"AWT-EventQueue-0","com.up.student.base.BaseDAO.destroy()","true",1928234
"AWT-EventQueue-0","com.up.student.dao.AdminDAO.queryForLogin(java.lang.String, java.lang.String)","true",1928235
"AWT-EventQueue-0","javax.swing.JTextField.setText(java.lang.String)","false",1928239
"AWT-EventQueue-0","javax.swing.JTextField.setText(java.lang.String)","true",1928520
"AWT-EventQueue-0","javax.swing.JPasswordField.setText(java.lang.String)","false",1928522
"AWT-EventQueue-0","javax.swing.JPasswordField.setText(java.lang.String)","true",1928883
"AWT-EventQueue-0","com.up.student.view.LoginView.check()","true",1928885
"AWT-EventQueue-0","com.up.student.view.LoginView.access$100(com.up.student.view.LoginView)","true",1928886
"AWT-EventQueue-0","com.up.student.view.LoginView$1.actionPerformed(java.awt.event.ActionEvent)","true",1928891
"AWT-EventQueue-0","com.up.student.view.LoginView$LoginListener.keyPressed(java.awt.event.KeyEvent)","false",4890060
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","false",4890068
"AWT-EventQueue-0","java.awt.event.KeyEvent.getKeyCode()","true",4890071
