"Thread","Method","Exit","Time (microseconds)"
"AWT-EventQueue-0","java.awt.EventDispatchThread.run()","false",0
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","false",0
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",217
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",222
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",226
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",226
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","false",228
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",230
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",232
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","false",234
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","true",235
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","false",236
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",238
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",239
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",240
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",241
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",285
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",314
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","true",317
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",318
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",319
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",320
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",321
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",326
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",487
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","true",490
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","true",490
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane$WindowHandler.windowActivated(java.awt.event.WindowEvent)","false",493
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.access$16(org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane, boolean)","false",499
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.setActive(boolean)","false",500
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindowDecorationStyle()","false",515
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","false",517
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","true",519
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindowDecorationStyle()","true",522
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","false",528
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","true",528
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.setActive(boolean)","true",534
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.access$16(org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane, boolean)","true",535
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane$WindowHandler.windowActivated(java.awt.event.WindowEvent)","true",536
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","false",537
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",540
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",540
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",541
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",542
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","false",542
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",543
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",544
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","false",545
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","true",546
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","false",547
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",548
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",549
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",550
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",550
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",575
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",589
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","true",592
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",593
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",594
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",594
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",595
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",600
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",689
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","true",691
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","true",694
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.widget.border.NinePatchBorder.paintBorder(java.awt.Component, java.awt.Graphics, int, int, int, int)","false",77183
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatch.draw(java.awt.Graphics2D, int, int, int, int)","false",77191
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int, int, int)","false",77192
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int)","false",77193
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.computePatches(int, int)","false",77202
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.<init>()","false",77202
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.<init>()","true",77204
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$4(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","false",77211
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$4(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","true",77212
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$5(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","false",77213
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$5(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","true",77213
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",77214
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",77214
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77217
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77217
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",77218
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",77218
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",77220
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",77220
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77222
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77223
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",77223
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",77223
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.computePatches(int, int)","true",77225
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$0(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77226
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$0(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77226
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77227
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77227
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77274
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77275
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77281
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77281
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77282
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77283
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77285
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77285
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77286
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77286
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77288
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77288
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77290
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77291
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",77293
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",77293
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int)","true",77298
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int, int, int)","true",77299
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatch.draw(java.awt.Graphics2D, int, int, int, int)","true",77299
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.widget.border.NinePatchBorder.paintBorder(java.awt.Component, java.awt.Graphics, int, int, int, int)","true",77301
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.paintComponent(java.awt.Graphics)","false",77394
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getFrame()","false",77406
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindow()","false",77412
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindow()","true",77413
