"Thread","Method","Exit","Time (microseconds)"
"AWT-EventQueue-0","java.awt.EventDispatchThread.run()","false",0
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","false",0
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",0
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",23126
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",23151
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",23154
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","false",23157
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",23160
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",23162
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","false",23164
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","true",23165
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","false",23167
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",23168
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",23169
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",23170
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",23171
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",33121
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",33187
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","true",33191
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",33193
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",33194
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",33195
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",33196
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",33203
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",33574
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","true",33577
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","true",33578
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane$WindowHandler.windowActivated(java.awt.event.WindowEvent)","false",33585
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.access$16(org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane, boolean)","false",33588
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.setActive(boolean)","false",33590
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindowDecorationStyle()","false",33628
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","false",33630
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","true",33633
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindowDecorationStyle()","true",33636
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","false",33645
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getRootPane()","true",33646
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.setActive(boolean)","true",33659
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.access$16(org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane, boolean)","true",33660
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane$WindowHandler.windowActivated(java.awt.event.WindowEvent)","true",33661
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","false",33675
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",33677
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",33678
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","false",33679
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI.access$2(org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI)","true",33679
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","false",33680
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",33682
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",33683
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","false",33684
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOneDotSixUpdate12OrAfter()","true",33685
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","false",33686
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",33687
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",33688
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",33689
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",33689
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",33715
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",33790
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.isTranslucencySupported()","true",33794
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","false",33795
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.current()","true",33796
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","false",33797
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.JVM.isOrLater(int)","true",33798
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","false",33804
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.ReflectHelper.invokeMethod(java.lang.Class, java.lang.Object, java.lang.String, java.lang.Class[ ], java.lang.Object[ ])","true",33908
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.utils.WindowTranslucencyHelper.setOpacity(java.awt.Window, float)","true",33909
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BERootPaneUI$1.windowActivated(java.awt.event.WindowEvent)","true",33912
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.widget.border.NinePatchBorder.paintBorder(java.awt.Component, java.awt.Graphics, int, int, int, int)","false",85577
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatch.draw(java.awt.Graphics2D, int, int, int, int)","false",85583
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int, int, int)","false",85585
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int)","false",85586
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.computePatches(int, int)","false",85602
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.<init>()","false",85610
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.<init>()","true",85612
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$4(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","false",85667
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$4(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","true",85670
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$5(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","false",85671
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$5(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, int)","true",85672
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",85673
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",85674
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",85709
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",85718
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",85720
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$6(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",85721
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",85725
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",85726
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",85738
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",85745
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","false",85746
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$7(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData, float)","true",85747
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.computePatches(int, int)","true",85751
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$0(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",85752
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$0(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",85754
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",85755
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",85756
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89694
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89698
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89789
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89792
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89798
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89802
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89815
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89815
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89817
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89818
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89827
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$3(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89828
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89838
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$1(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89839
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","false",89855
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk$DrawingData.access$2(org.jb2011.ninepatch4j.NinePatchChunk$DrawingData)","true",89856
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int)","true",89882
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatchChunk.draw(java.awt.image.BufferedImage, java.awt.Graphics2D, int, int, int, int, int, int)","true",89885
"AWT-EventQueue-0","org.jb2011.ninepatch4j.NinePatch.draw(java.awt.Graphics2D, int, int, int, int)","true",89887
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.widget.border.NinePatchBorder.paintBorder(java.awt.Component, java.awt.Graphics, int, int, int, int)","true",89890
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.paintComponent(java.awt.Graphics)","false",91272
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getFrame()","false",91289
"AWT-EventQueue-0","org.jb2011.lnf.beautyeye.ch1_titlepane.BETitlePane.getWindow()","false",91292
