"Start Time","Event Type","Duration","Connection ID","Description","Thread"
"0:37.262 [Feb 11, 2018 6:27:50 PM]","Statement execution","36 ms",1,"/* mysql-connector-java-5.1.44 ( Revision: b3cda4f864902ffdde495b9df93937c3e20009be ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout","AWT-EventQueue-0 [main]"
"0:37.305 [Feb 11, 2018 6:27:50 PM]","Connection opened","0 µs",1,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"0:37.329 [Feb 11, 2018 6:27:50 PM]","Prepared statement execution","621 µs",1,"select * from admin where username=? and password=?","AWT-EventQueue-0 [main]"
"0:37.330 [Feb 11, 2018 6:27:50 PM]","Connection closed","0 µs",1,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"0:37.362 [Feb 11, 2018 6:27:50 PM]","Statement execution","645 µs",2,"/* mysql-connector-java-5.1.44 ( Revision: b3cda4f864902ffdde495b9df93937c3e20009be ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout","AWT-EventQueue-0 [main]"
"0:37.364 [Feb 11, 2018 6:27:50 PM]","Connection opened","0 µs",2,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"0:37.365 [Feb 11, 2018 6:27:50 PM]","Prepared statement execution","661 µs",2,"select * from student limit ?,?","AWT-EventQueue-0 [main]"
"0:37.374 [Feb 11, 2018 6:27:50 PM]","Connection closed","0 µs",2,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"0:57.564 [Feb 11, 2018 6:28:10 PM]","Statement execution","1456 µs",3,"/* mysql-connector-java-5.1.44 ( Revision: b3cda4f864902ffdde495b9df93937c3e20009be ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout","AWT-EventQueue-0 [main]"
"0:57.568 [Feb 11, 2018 6:28:10 PM]","Connection opened","0 µs",3,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"0:57.568 [Feb 11, 2018 6:28:10 PM]","Prepared statement execution","1124 µs",3,"select * from student limit ?,?","AWT-EventQueue-0 [main]"
"0:57.572 [Feb 11, 2018 6:28:10 PM]","Connection closed","0 µs",3,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
"3:18.919 [Feb 11, 2018 6:30:31 PM]","Statement execution","1247 µs",4,"/* mysql-connector-java-5.1.44 ( Revision: b3cda4f864902ffdde495b9df93937c3e20009be ) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_buffer_length AS net_buffer_length, @@net_write_timeout AS net_write_timeout, @@query_cache_size AS query_cache_size, @@query_cache_type AS query_cache_type, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@tx_isolation AS tx_isolation, @@wait_timeout AS wait_timeout","AWT-EventQueue-0 [main]"
"3:18.922 [Feb 11, 2018 6:30:31 PM]","Connection opened","0 µs",4,"jdbc:mysql://127.0.0.1:3306/student?useUnicode=true&amp;characterEncodeing=UTF-8","AWT-EventQueue-0 [main]"
